repo_url,default_score,depsdev_dependent_count,legacy_closed_issues_count,legacy_commit_frequency,legacy_contributor_count,legacy_created_since,legacy_github_mention_count,legacy_issue_comment_frequency,legacy_org_count,legacy_recent_release_count,legacy_updated_issues_count,legacy_updated_since,repo_created_at,repo_language,repo_license,repo_star_count,repo_updated_at
https://github.com/apple/swift,0.74845,,46329,297.48,1334,164,42052,0.56,1,5,53392,0,2010-07-17T23:50:59Z,C++,Apache License 2.0,65083,2024-01-30T22:29:30Z
https://github.com/zephyrproject-rtos/zephyr,0.8245,,59225,307.08,2381,107,27482,0.49,9,10,61706,0,2015-04-10T23:44:37Z,C,Apache License 2.0,9078,2024-01-30T09:40:15Z
https://github.com/opencv/opencv,0.78192,1,13017,22.46,2113,167,23872,2.01,6,3,14896,0,2010-05-11T17:44:00Z,C++,Apache License 2.0,73847,2024-01-30T14:01:50Z
https://github.com/MarlinFirmware/Marlin,0.78172,,21214,21.44,1241,151,38032,1.36,5,15,21993,0,2011-08-12T20:23:37Z,C++,GNU General Public License v3.0,15649,2024-01-30T06:06:23Z
https://github.com/qgis/QGIS,0.7737,,45497,83.04,667,262,4783,0.6,11,25,49837,0,2002-07-06T00:33:05Z,C++,GNU General Public License v2.0,9253,2024-01-30T17:41:57Z
https://github.com/openwrt/openwrt,0.79938,,10570,57.31,1373,241,96472,2.31,3,9,12999,0,2004-03-28T00:16:07Z,C,Other,17481,2024-01-28T15:10:36Z
https://github.com/envoyproxy/envoy,0.78862,2,28078,70.31,1271,91,24852,1.01,5,48,29699,0,2016-08-08T15:07:24Z,C++,Apache License 2.0,23418,2024-01-30T21:54:17Z
https://github.com/ArduPilot/ardupilot,0.81516,,17072,106.35,979,166,31383,1.55,9,12,19389,0,2010-05-14T17:48:06Z,C++,GNU General Public License v3.0,9454,2024-01-25T11:46:38Z
https://github.com/u-boot/u-boot,0.8157,,371,135.92,3379,287,151066,0.31,7,19,465,0,2000-06-17T20:10:14Z,C,,3410,2024-01-30T12:54:28Z
https://github.com/qemu/qemu,0.81305,,187,181.67,2728,255,353993,1.02,4,17,187,0,2003-02-18T22:55:36Z,C,Other,8887,2024-01-29T10:53:55Z
